roll_no,semester_1_marks,semester_2_marks,midterm_marks,average_marks,failed_subjects,assignment_completion
20240001,56.2,62.5,62.8,60.5,0,41.9
20240002,50.4,47.9,42.6,47.0,2,57.7
20240003,55.6,62.1,64.7,60.8,1,66.9
20240004,56.0,66.6,59.8,60.8,1,56.9
20240005,74.1,64.8,67.8,68.9,0,71.9
20240006,68.6,72.0,75.0,71.8,0,74.8
20240007,20.5,27.1,33.2,26.9,3,40.6
20240008,40.2,41.1,42.0,41.1,1,46.9
20240009,52.3,49.8,60.9,54.3,1,60.4
20240010,25.7,39.8,34.6,33.4,4,48.0
20240011,20.0,20.0,20.0,20.0,5,30.0
20240012,43.7,59.2,35.4,46.1,2,48.0
20240013,67.1,68.6,61.7,65.8,0,57.9
20240014,66.2,62.4,65.8,64.8,0,57.1
20240015,60.3,57.2,54.6,57.4,1,42.2
20240016,51.8,53.9,53.6,53.1,1,30.0
20240017,82.1,74.4,78.2,78.2,0,82.4
20240018,67.4,73.0,73.7,71.3,0,86.2
20240019,60.2,54.2,69.9,61.4,0,73.9
20240020,51.5,55.3,64.0,56.9,0,57.5
20240021,59.7,56.7,50.8,55.7,1,60.6
20240022,66.4,63.4,48.6,59.5,0,46.8
20240023,70.0,67.3,74.0,70.4,0,56.7
20240024,74.7,81.6,65.6,74.0,0,61.2
20240025,55.7,60.6,50.3,55.5,1,61.8
20240026,53.5,63.2,65.7,60.8,1,48.9
20240027,50.0,47.9,37.9,45.3,2,51.6
20240028,30.4,45.4,31.7,35.8,2,47.3
20240029,53.6,51.9,53.3,52.9,1,69.6
20240030,69.3,74.8,70.4,71.5,0,86.7
